papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
SANB11,28.32,7.33,1.29,0.0,0.07919999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17579999999999998,0.0,74479800.0,82397300000.0,0.0,0.12689999999999999
SANB3,13.27,6.87,1.21,0.0,0.08039999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17579999999999998,0.0,4165770.0,82397300000.0,0.0,0.12689999999999999
SANB4,14.95,7.74,1.36,0.0,0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17579999999999998,0.0,4982160.0,82397300000.0,0.0,0.12689999999999999
SAPR11,18.17,4.85,0.65,0.984,0.0639,0.34,6.09,2.68,-1.03,4.47,3.71,0.3677,0.2029,0.14,0.13470000000000001,1.6,27031800.0,8408830000.0,0.58,0.0771
SAPR3,3.47,4.63,0.62,0.939,0.062,0.324,5.81,2.56,-0.98,4.35,3.61,0.3677,0.2029,0.14,0.13470000000000001,1.6,1740770.0,8408830000.0,0.58,0.0771
SAPR4,3.65,4.87,0.66,0.988,0.06480000000000001,0.341,6.12,2.69,-1.03,4.48,3.72,0.3677,0.2029,0.14,0.13470000000000001,1.6,11584000.0,8408830000.0,0.58,0.0771
SASG3,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBFG3,13.43,9.27,1.41,0.549,0.0088,0.43,2.09,7.51,-1.92,12.91,7.14,0.0731,0.0591,0.0677,0.1523,1.77,33605000.0,2317740000.0,1.13,0.4828
SBSP3,58.11,13.04,1.45,1.875,0.016200000000000003,0.709,17.26,8.94,-1.85,12.4,8.05,0.2097,0.1438,0.085,0.1114,1.48,279703000.0,27355300000.0,0.69,0.0751
SCAR3,17.89,-15.76,0.69,3.411,0.008,0.279,3.24,7.18,-0.64,19.82,13.98,0.47509999999999997,-0.2253,0.042300000000000004,-0.0436,2.25,170067.0,1503850000.0,1.41,-0.14529999999999998
SCAR4,10.0,-0.01,0.0,0.002,0.0,0.0,0.0,0.0,-0.0,12.65,8.92,0.47509999999999997,-0.2253,0.042300000000000004,-0.0436,2.25,0.0,1503850000.0,1.41,-0.14529999999999998
SCLO3,14.1,0.0,-84.08,0.0,0.0,721.805,-77.0,0.0,-76.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-160988.0,-0.17,-0.5574
SCLO4,0.41,0.0,-2.44,0.0,0.0,20.989,-2.24,0.0,-2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-160988.0,-0.17,-0.5574
SDIA3,6.42,-1.59,9.41,0.397,0.0,0.418,-3.29,9.53,-0.83,23.15,23.15,0.0416,-0.2509,0.058899999999999994,-5.9066,0.78,0.0,459230000.0,17.27,0.13419999999999999
SEBB11,23.27,28.01,6.44,2.214,0.0,5.279,24.65,23.96,28.94,23.73,23.73,0.0924,0.07400000000000001,0.2415,0.23010000000000003,2.44,0.0,145783000.0,0.01,0.5004
SEBB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.23,0.0924,0.07400000000000001,0.2415,0.23010000000000003,2.44,0.0,145783000.0,0.01,0.5004
SEDU3,23.8,-13.36,15.0,3.443,0.0,1.531,57.9,-22.47,-2.67,-28.68,-69.64,-0.1533,-0.25730000000000003,-0.0815,-1.1229,1.09,0.0,415869000.0,4.67,0.10869999999999999
SEER3,4.34,-5.99,0.41,0.344,0.0,0.161,2.36,2.67,-0.42,4.98,2.5,0.1286,-0.0574,0.0658,-0.0684,1.44,5406360.0,1363920000.0,0.55,0.06269999999999999
SEMP3,16.86,-8.12,1.36,15.081,0.0,1.201,15.67,-4.42,15.67,-4.07,-4.07,-3.4098,-1.8581999999999999,-0.30210000000000004,-0.1681,1.64,0.0,118441000.0,0.0,-0.10369999999999999
